episode,total_reward,step_count,success,success_rate,duration_s,epsilon,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count,action_8_count,action_9_count,most_used_action,scenario,loss,q_mean,q_max
104,-196.74,86,1,0.3173,77.39,0.59375,8,6,1,17,3,6,4,17,16,8,attack_slot_0,LandStrike 1,166.981781,15.33509,39.447731
105,-256.6,24,0,0.3143,24.31,0.59078,1,2,1,2,0,1,3,5,5,4,radar_on,Escort1,245.559891,14.942662,40.678219
106,-309.568,83,1,0.3208,79.37,0.58782,6,4,2,30,4,13,3,8,9,4,attack_slot_0,LandStrike 1,204.670349,15.994084,38.959679
107,-376.1,76,0,0.3178,68.83,0.58488,9,5,7,19,2,5,4,13,10,2,attack_slot_0,Escort1,208.707977,16.480534,41.266548
108,-190.1,25,0,0.3148,27.39,0.58196,3,1,1,3,1,0,0,4,5,7,move_to_target,Escort2,148.077545,16.500072,41.855721
109,-220.3,19,0,0.3119,26.61,0.57905,3,0,2,2,2,0,1,3,4,2,radar_off,Escort2,261.322876,17.067711,37.339035
110,-250.7,26,0,0.3091,31.77,0.57615,2,3,2,9,0,2,3,2,3,0,attack_slot_0,Escort2,195.443817,17.54752,37.759941
111,-271.14,119,1,0.3153,126.47,0.57327,14,8,9,25,5,6,5,24,21,2,attack_slot_0,LandStrike 1,234.888748,17.454372,39.29097
112,-889.9,165,0,0.3125,157.22,0.57041,12,4,12,15,7,10,9,46,41,9,radar_on,Escort2,217.146118,18.181202,39.667488
113,-219.16,82,1,0.3186,82.57,0.56756,6,5,1,12,6,8,1,19,19,5,radar_on,LandStrike 1,185.446625,17.799105,38.492928
114,-362.24,105,1,0.3246,96.83,0.56472,5,8,3,24,7,4,10,15,21,8,attack_slot_0,LandStrike 1,172.578537,18.5716,38.815231
115,-682.9,162,0,0.3217,152.1,0.56189,12,11,6,12,1,14,6,43,52,5,radar_off,Escort2,144.587891,18.960476,46.095352
116,-303.6,30,0,0.319,26.47,0.55908,2,3,5,4,3,0,1,4,6,2,radar_off,Escort2,213.185944,18.418238,42.126305
117,-337.6,75,0,0.3162,68.96,0.55629,4,4,5,21,2,4,6,13,13,3,attack_slot_0,Escort1,160.519684,19.109329,42.108662
118,-369.0,73,0,0.3136,64.03,0.55351,3,8,3,18,8,4,2,12,10,5,attack_slot_0,Escort1,217.503998,19.307831,42.257496
119,-223.0,25,0,0.3109,27.41,0.55074,2,2,2,6,1,3,0,4,4,1,attack_slot_0,Escort2,210.055923,18.939005,39.440941
120,-807.4,178,0,0.3083,151.91,0.54799,18,11,13,9,9,9,6,41,51,11,radar_off,Escort2,174.947266,19.775284,39.861683
121,-194.8,22,0,0.3058,22.53,0.54525,2,3,2,4,1,0,1,4,4,1,attack_slot_0,Escort2,122.965065,20.786646,39.699455
122,-408.8,79,0,0.3033,68.97,0.54252,3,8,5,31,3,4,4,8,8,5,attack_slot_0,Escort1,196.045975,20.507618,41.904449
123,-503.76,137,1,0.3089,123.1,0.53981,5,7,9,21,8,11,6,27,29,14,radar_off,LandStrike 1,201.984039,20.661619,43.072796
124,-159.67,86,1,0.3145,105.97,0.53711,6,4,1,34,5,5,3,9,16,3,attack_slot_0,LandStrike 1,196.863876,20.707394,40.71936
125,-286.0,27,0,0.312,30.78,0.53442,0,3,1,3,0,3,1,6,8,2,radar_off,Escort2,183.40538,20.517473,40.278316
126,-323.28,115,1,0.3175,113.8,0.53175,2,3,6,33,4,4,11,19,25,8,attack_slot_0,LandStrike 1,230.859039,20.796938,40.272278
127,-106.123,63,1,0.3228,74.18,0.52909,7,2,3,4,2,6,4,16,19,0,radar_off,Escort1,227.412827,21.564224,41.613224
128,-100.98,91,1,0.3281,94.86,0.52645,4,1,6,25,3,4,2,23,16,7,attack_slot_0,LandStrike 1,215.503021,21.582159,40.538212
129,-436.9,81,0,0.3256,73.4,0.52381,2,7,5,17,2,7,7,10,17,7,attack_slot_0,Escort1,204.754913,21.713205,40.88089
130,-277.3,24,0,0.3231,23.44,0.5212,0,2,5,4,3,2,0,3,4,1,move_to_ally,Escort2,133.508774,22.809128,39.951252
131,-280.2,27,0,0.3206,36.17,0.51859,1,2,1,2,1,1,3,7,7,2,radar_on,Escort2,222.998886,22.588242,40.198589
132,-199.6,23,0,0.3182,31.02,0.516,2,1,0,11,0,0,2,3,3,1,attack_slot_0,Escort2,156.627762,22.186377,39.629597
133,-255.8,64,0,0.3158,68.26,0.51342,4,3,2,7,4,0,4,15,21,4,radar_off,Escort1,255.43573,22.513899,40.560696
134,-418.9,74,0,0.3134,71.79,0.51085,4,2,5,15,4,8,3,14,15,4,attack_slot_0,Escort1,183.735718,22.925079,40.237251
135,-279.9,72,0,0.3111,82.05,0.5083,7,2,4,9,2,0,7,18,19,4,radar_off,Escort1,182.799622,23.243801,40.549164
136,-217.8,22,0,0.3088,23.43,0.50575,0,2,3,4,2,1,0,5,5,0,radar_on,Escort2,246.959366,23.232189,42.199856
137,-202.0,25,0,0.3066,27.48,0.50322,0,1,1,7,1,0,0,8,6,1,radar_on,Escort2,210.026871,24.563227,42.719101
138,-245.8,25,0,0.3043,36.4,0.50071,0,2,2,6,1,3,1,5,5,0,attack_slot_0,Escort2,207.775574,23.648867,40.457478
139,-449.109,123,1,0.3094,116.66,0.49821,5,5,5,10,6,7,13,34,34,4,radar_on,LandStrike 1,221.818588,24.052208,44.66206
140,-401.1,82,0,0.3071,69.08,0.49571,2,5,9,11,0,4,6,13,26,6,radar_off,Escort1,196.000076,24.563877,41.691605
141,-316.2,72,0,0.305,73.04,0.49324,5,4,4,19,2,3,4,13,17,1,attack_slot_0,Escort1,199.411819,24.298679,43.484447
142,-268.8,21,0,0.3028,25.46,0.49077,2,1,0,2,2,1,3,6,4,0,radar_on,Escort2,217.748947,24.008821,41.282604
143,-286.0,25,0,0.3007,30.44,0.48832,2,1,3,2,1,2,2,11,1,0,radar_on,Escort2,318.920349,23.413397,43.916794
144,-684.0,170,0,0.2986,170.46,0.48587,11,10,11,9,6,3,6,48,50,16,radar_off,Escort2,240.889023,24.219301,46.423302
145,-178.4,20,0,0.2966,22.48,0.48344,0,1,2,1,1,0,0,12,2,1,radar_on,Escort2,213.524857,23.954195,42.303917
146,-708.2,176,0,0.2945,152.29,0.48103,8,13,11,5,8,7,4,50,56,14,radar_off,Escort2,254.247208,24.590563,41.465298
147,-373.78,117,1,0.2993,110.44,0.47862,4,6,4,23,6,9,8,31,22,4,radar_on,LandStrike 1,267.083649,24.161417,41.772861
148,-389.376,155,1,0.3041,144.46,0.47623,10,8,12,30,9,2,8,44,24,8,radar_on,LandStrike 1,241.40831,25.586086,43.997047
149,-805.2,168,0,0.302,157.04,0.47385,16,11,6,4,8,7,11,60,36,9,radar_on,Escort2,229.472305,25.952885,46.351433
150,-217.3,82,1,0.3067,91.05,0.47148,3,2,0,17,8,2,5,27,12,6,radar_on,LandStrike 1,268.002289,25.689432,45.051632
